Reference, Value, Footprint, Datasheet
OPA1,OPA2134,Sockets_DIP:DIP-8__300_ELL,
RL1,100k,Discret:R5,
RL3,100k,Discret:R5,
CLin1,1uF,Discret:C1,
C2,0.1uFC,Discret:C1,
C1,0.1uFC,Discret:C1,
RR1,100k,Discret:R5,
RR3,100k,Discret:R5,
CRin1,1uF,Discret:C1,
BUFR1,BUF634,LBHB:BUF634,
CR1,10uFT,Capacitors_ThroughHole:Capacitor5x6RM2.5,
CP3,0.1uFC,Discret:C1,
CP2,10uFE,Capacitors_ThroughHole:Capacitor5x6RM2.5,
CN3,0.1uFC,Discret:C1,
CN2,10uFE,Capacitors_ThroughHole:Capacitor5x6RM2.5,
CG2,10uFE,Capacitors_ThroughHole:Capacitor5x6RM2.5,
RR2,5k,Discret:R5,
RL2,5k,Discret:R5,
BUFR2,BUF634,LBHB:BUF634,
RR4,22,Discret:R5,
CR3,2uF,Discret:C1,
LR1,100uH,,
CR2,10uFT,Capacitors_ThroughHole:Capacitor5x6RM2.5,
BUFL1,BUF634,LBHB:BUF634,
CL1,10uFT,Capacitors_ThroughHole:Capacitor5x6RM2.5,
BUFL2,BUF634,LBHB:BUF634,
RL4,22,Discret:R5,
CL3,2uF,Discret:C1,
LL1,100uH,,
CL2,10uFT,Capacitors_ThroughHole:Capacitor5x6RM2.5,
SIGIN1,4P_miniDIN,,
SER1,8P_miniDIN,,
Cvr1,0.33uF,Discret:C1,
Cvr2,0.1uF,Discret:C1,
SIGOUT1,4P_miniDIN,,
VREG1,78L05,,
VCTL1,PGA2310,,
RS1,100k,Discret:R5,
PWR1,4P_miniDIN_PWR,,
CR6,0.1uF,Discret:C1,
CR5,0.1uF,Discret:C1,
CL6,0.1uF,Discret:C1,
CL5,0.1uF,Discret:C1,
